MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,num_stars,num_genres
"Frankenstein's Monster's Monster, Frankenstein",2019.0,Comedy,0.5454545454545455,"David Harbour delves into the enigmatic history of his legendary acting family, as he examines his father's legacy and role in a made-for-TV play.","Director: Daniel Gray Longino |      Stars: David Harbour,  Kate Berlant,  Alex Ozerov,  Mary Woronov",0.001174531807220335,0.16146674305953454,0.012192218408364914,4,1
Vivir dos veces,2019.0,"Comedy, Drama",0.6931818181818181,A retired academic teacher tries to find the love of his youth after being diagnosed with Alzheimer's.,"Director: Maria Ripoll |      Stars: Oscar Martínez,  Inma Cuesta,  Mafalda Carbonell,  Nacho López",0.0033653955609469345,0.5208604614823695,0.012192218408364914,4,2
The Final Table,2018.0,Reality-TV,0.75,Teams of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this reality cooking competition.,"Stars: Andrew Knowlton,  Monique Fiso,  Mark Best,  Shane Osborn",0.002083451302171658,0.307307672274598,0.012192218408364914,4,1
Yo soy la felicidad de este mundo,2014.0,Drama,0.38636363636363635,"Emiliano looks at his life with the eyes of a film director, mixing the objective reality with the processes of the artistic creation. The story he is filming flounders with his daily life,...                See full summary »","Director: Julián Hernández |      Stars: Hugo Catalán,  Gabino Rodríguez,  Andrea Portal,  Emilio von Sternerfels",0.0005709205305474592,0.6302411583936671,0.012192218408364914,4,1
El autor,2017.0,"Comedy, Crime, Drama",0.6136363636363636,"A man obsessed with the idea of writing ""high literature"" starts to cause conflicts around him to write about it.","Director: Manuel Martín Cuenca |      Stars: Javier Gutiérrez,  María León,  Adelfa Calvo,  Adriana Paz",0.003077016479054864,0.5781551122454301,0.012192218408364914,4,3
Tribhanga,2021.0,"Drama, Family",0.5681818181818181,The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,"Director: Renuka Shahane |      Stars: Kajol,  Tanvi Azmi,  Mithila Palkar,  Kunaal Roy Kapur",0.0015078606650348535,0.48960883379342734,0.012192218408364914,4,2
Wheels of Fortune,2020.0,Comedy,0.48863636363636365,"In order to claim his inheritance, a born loser travels the country with his childhood friends to prove he can be a winner. Ish.","Director: Shaun Paul Piccinino |      Stars: Matt Jones,  Jeff Fahey,  Noureen DeWulf,  John Ducey",0.0003578469174085812,0.5469034845564881,0.012192218408364914,4,1
Aneun Waipeu,2018.0,"Fantasy, Romance",0.7386363636363635,A married couple suddenly finds themselves living entirely different lives after their fates magically change through an unexpected incident.,"Stars: Seong Ji,  Han Ji-min,  Seung-jo Jang,  Kang Han-na",0.0003823649770026439,0.307307672274598,0.012192218408364914,4,2
Blame!,2017.0,"Animation, Action, Drama",0.6363636363636364,"In the distant future, humans are declared ""illegal residents"" and hunted to near extinction by murderous robots. One day, a group of human scavengers come across a strange man named Killy, who may be the key to humanity's survival.","Director: Hiroyuki Seshita |      Stars: Takahiro Sakurai,  Kana Hanazawa,  Sora Amamiya,  Mamoru Miyano",0.004335610204883414,0.5469034845564881,0.012192218408364914,4,3
The Boss Baby: Get That Baby!,2020.0,"Animation, Short, Adventure",0.4318181818181819,An interactive simulation is created where Boss Baby has to fight several villains hungry for revenge. The choices made in the simulation will determine the viewer's career path within Baby Corp.,"Directors: Dan Forgione,  Pete Jacobs,  Matt Whitlock |      Stars: Flula Borg,  Alex Cazares,  Rhys Darby,  Pierce Gagnon",0.0001266766412359904,0.11979790614094499,0.012192218408364914,6,3
Dawn of the Croods,2015.0,"Animation, Short, Adventure",0.5568181818181818,"Eep, Grug, Thunk, Ugga, Sandy and Gran are back. Follow them as they meet new friends, outrun new creatures and encounter ""firsts"" the world has never seen - such as school, slumber parties, hiccups and elections.","Stars: Dan Milano,  A.J. LoCascio,  Laraine Newman,  Cree Summer",0.00034442036096421356,0.11458930152612129,0.012192218408364914,4,3
Won't Back Down,2012.0,Drama,0.6136363636363636,"Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children.","Director: Daniel Barnz |      Stars: Viola Davis,  Maggie Gyllenhaal,  Holly Hunter,  Oscar Isaac",0.003684714098993417,0.6250325537788435,0.010535505247911749,4,1
Pelé,2021.0,"Documentary, Biography, Sport",0.6704545454545454,"Looks back at the extraordinary 12-year period in which Pelé, the only man to win three World Cup titles, went from young superstar in 1958 to national hero in 1970; a radical yet turbulent era in Brazil’s history.","Directors: Ben Nicholas,  David Tryhorn |      Stars: Amarildo,  Fernando Henrique Cardoso,  Benedita da Silva,  Mengálvio Pedro Figueiró",0.0020478417394279003,0.5573206937861354,0.012192218408364914,5,3
Kidô Senshi Gundam Unicorn,2010.0,"Animation, Action, Drama",0.7613636363636364,"A conspiracy around Laplace's Box is potentially going to start another war between the Earth Federation and Neo Zeon. Chosen by fate, Banagher Links gets the key to the box, and must follow his heart to decide what to do with it.","Stars: Troy Baker,  J. David Brimmer,  Wayne Grayson,  Dan Green",0.0006654901889817009,0.307307672274598,0.012192218408364914,4,3
